日期,收盘价,最高价,最低价,开盘价
2018/8/17,9.98,10.16,9.93,10.16
2018/8/16,10.06,10.12,9.84,9.87
2018/8/15,9.9,10.06,9.9,10.06
2018/8/14,10.06,10.07,9.95,9.98
2018/8/13,9.98,10.06,9.9,10
2018/8/10,10.07,10.14,10.02,10.14
2018/8/9,10.14,10.18,9.99,10
2018/8/8,10.05,10.15,10.01,10.15
2018/8/7,10.11,10.12,9.94,9.94
2018/8/6,9.91,10.03,9.87,9.97
2018/8/3,9.83,9.98,9.76,9.79
2018/8/2,9.79,10.03,9.66,9.91
2018/8/1,9.91,10.27,9.9,10.26
2018/7/31,10.17,10.2,10,10.12
2018/7/30,10.13,10.16,9.97,9.99
2018/7/27,9.99,10.04,9.93,9.96
2018/7/26,9.96,10.08,9.95,10.07
2018/7/25,10.02,10.12,9.96,10.12
